semantics,property_set,transport,robots,runs,expected_runs,complete,latency_samples_mean,latency_overhead_ms_p50_mean,latency_overhead_ms_p95_mean,latency_overhead_ms_p99_mean
delayed-quantitative,dwell,ros,20,2,2,True,2000.0,44.5738205,44.712049,44.7767445
delayed-quantitative,dwell,ros,50,2,2,True,5000.0,44.001791499999996,44.289674500000004,44.753702000000004
delayed-quantitative,dwell,ros,100,2,2,True,10000.0,31.596749,32.1328845,33.115967500000004
delayed-quantitative,occupancy,direct,1,2,2,True,200.0,0.0313395,0.2969445,0.418239
delayed-quantitative,occupancy,direct,5,2,2,True,200.0,0.060969499999999996,0.36655550000000003,0.45397699999999996
delayed-quantitative,occupancy,direct,10,2,2,True,200.0,0.056171,0.3351845,0.3859445
delayed-quantitative,occupancy,direct,20,2,2,True,200.0,0.1105355,0.41876199999999997,0.580217
delayed-quantitative,occupancy,direct,50,2,2,True,200.0,0.44262599999999996,0.809496,0.924831
delayed-quantitative,occupancy,direct,100,2,2,True,200.0,1.5767229999999999,2.066288,2.1849075
delayed-quantitative,occupancy,ros,1,2,2,True,200.0,23.425071,23.580589,23.7594845
delayed-quantitative,occupancy,ros,5,2,2,True,200.0,44.7298415,44.871815,45.092917
delayed-quantitative,occupancy,ros,10,2,2,True,200.0,44.2970435,44.415393,44.5024515
delayed-quantitative,occupancy,ros,20,2,2,True,200.0,47.162876,47.4015945,47.6872895
delayed-quantitative,occupancy,ros,50,2,2,True,200.0,50.461721999999995,50.822517000000005,51.242408999999995
delayed-quantitative,occupancy,ros,100,2,2,True,200.0,4.457284,5.096511,5.498658
eager-qualitative,confined,direct,1,2,2,True,400.0,0.028978999999999998,0.046749,0.07012099999999999
eager-qualitative,confined,direct,5,2,2,True,2000.0,0.048439499999999996,0.071736,0.0926205
eager-qualitative,confined,direct,10,2,2,True,4000.0,0.07092999999999999,0.1129995,0.1372295
eager-qualitative,confined,direct,20,2,2,True,8000.0,0.10756099999999999,0.1459435,0.24241849999999998
eager-qualitative,confined,direct,50,2,2,True,20000.0,0.20413150000000002,0.2789275,0.39028850000000004
eager-qualitative,confined,direct,100,2,2,True,40000.0,0.3681235,0.47478,0.5451195
eager-qualitative,confined,ros,1,2,2,True,400.0,44.472252,44.71983,45.032617
eager-qualitative,confined,ros,5,2,2,True,2000.0,44.845089,44.9669995,45.1643125
eager-qualitative,confined,ros,10,2,2,True,4000.0,45.480446,45.6377665,45.887774500000006
eager-qualitative,confined,ros,20,2,2,True,8000.0,44.624179999999996,44.762358500000005,45.045495
eager-qualitative,confined,ros,50,2,2,True,20000.0,38.919813500000004,39.114716,39.295921
eager-qualitative,confined,ros,100,2,2,True,40000.0,35.9354825,36.425072,36.905614
eager-qualitative,dwell,direct,1,2,2,True,100.0,9999.848919,10000.239095500001,10000.430421500001
eager-qualitative,dwell,direct,5,2,2,True,500.0,15000.0776725,15000.369429499999,15000.4531885
eager-qualitative,dwell,direct,10,2,2,True,1000.0,15000.039735999999,15000.3665365,15000.418688
